approach,snapshot_index,local_id,observation_id,decision,from_snapshot,from_local_id,from_observation_id,overlap_size,jaccard,prospective_stability,retrospective_stability,candidate_parent_local_ids,candidate_parent_observation_ids
overlap,6,4,OVL-C0605,inherited,5,4,OVL-C0505,49,0.765625,0.859649,0.875000,4;8,OVL-C0505;OVL-C0509
overlap,6,5,OVL-C0606,inherited,5,5,OVL-C0506,52,0.896552,0.945455,0.945455,5;9;1,OVL-C0506;OVL-C0510;OVL-C0502
overlap,6,6,OVL-C0607,new,,,,,,,,12;8;9;10;1;0,OVL-C0513;OVL-C0509;OVL-C0510;OVL-C0511;OVL-C0502;OVL-C0501
overlap,6,7,OVL-C0608,inherited,5,11,OVL-C0512,25,0.500000,0.925926,0.520833,11;1;3;2;0,OVL-C0512;OVL-C0502;OVL-C0504;OVL-C0503;OVL-C0501
overlap,6,8,OVL-C0609,inherited,5,6,OVL-C0507,39,0.639344,0.750000,0.812500,6;8;7;2;1,OVL-C0507;OVL-C0509;OVL-C0508;OVL-C0503;OVL-C0502
overlap,6,9,OVL-C0610,inherited,5,10,OVL-C0511,23,0.793103,0.851852,0.920000,10;9,OVL-C0511;OVL-C0510
overlap,6,10,OVL-C0611,inherited,5,9,OVL-C0510,21,0.656250,0.724138,0.875000,9;1,OVL-C0510;OVL-C0502
overlap,6,11,OVL-C0612,new,,,,,,,,7,OVL-C0508
overlap,6,12,OVL-C0613,new,,,,,,,,7,OVL-C0508
overlap,6,13,OVL-C0614,new,,,,,,,,9,OVL-C0510
overlap,7,0,OVL-C0701,inherited,6,0,OVL-C0601,62,0.306931,0.400000,0.568807,0;2;1;7;8;4,OVL-C0601;OVL-C0603;OVL-C0602;OVL-C0608;OVL-C0609;OVL-C0605
overlap,7,1,OVL-C0702,inherited,6,4,OVL-C0605,46,0.425926,0.821429,0.469388,4;6;1;0;8;10,OVL-C0605;OVL-C0607;OVL-C0602;OVL-C0601;OVL-C0609;OVL-C0611
overlap,7,2,OVL-C0703,inherited,6,1,OVL-C0602,54,0.400000,0.529412,0.620690,1;9;6;4;8;0,OVL-C0602;OVL-C0610;OVL-C0607;OVL-C0605;OVL-C0609;OVL-C0601
overlap,7,3,OVL-C0704,inherited,6,3,OVL-C0604,66,0.750000,0.929577,0.795181,3;11;0,OVL-C0604;OVL-C0612;OVL-C0601
overlap,7,4,OVL-C0705,inherited,6,2,OVL-C0603,42,0.362069,0.512195,0.552632,2;1;0;12;6;4,OVL-C0603;OVL-C0602;OVL-C0601;OVL-C0613;OVL-C0607;OVL-C0605
overlap,7,5,OVL-C0706,new,,,,,,,,0;1;8;6,OVL-C0601;OVL-C0602;OVL-C0609;OVL-C0607
