from_snapshot,to_snapshot,source_observation_id,target_observation_id,source_identity_group,target_identity_group,overlap_size,source_overlap_pct,target_overlap_pct,jaccard
9,10,OVL-C0909,OVL-C1002,c08,dead-OVL-C0002,2,0.048780,0.025641,0.017094
9,10,OVL-C0909,OVL-C1005,c08,c07,1,0.024390,0.015873,0.009709
9,10,OVL-C0909,OVL-C1009,c08,c08,33,0.804878,0.916667,0.750000
9,10,OVL-C0909,OVL-C1013,c08,dead-OVL-C1013,1,0.024390,0.038462,0.015152
9,10,OVL-C0910,OVL-C1001,dead-OVL-C0003,dead-OVL-C1001,1,0.025000,0.012048,0.008197
9,10,OVL-C0910,OVL-C1008,dead-OVL-C0003,c02,18,0.450000,0.418605,0.276923
9,10,OVL-C0910,OVL-C1011,dead-OVL-C0003,dead-OVL-C1011,14,0.350000,0.482759,0.254545
9,10,OVL-C0910,OVL-C1013,dead-OVL-C0003,dead-OVL-C1013,2,0.050000,0.076923,0.031250
9,10,OVL-C0911,OVL-C1012,c12,c12,26,0.928571,0.896552,0.838710
9,10,OVL-C0912,OVL-C1014,dead-OVL-C0712,dead-OVL-C0712,18,0.857143,0.720000,0.642857
9,10,OVL-C0913,OVL-C1003,dead-OVL-C0813,c05,1,0.052632,0.013333,0.010753
9,10,OVL-C0913,OVL-C1015,dead-OVL-C0813,dead-OVL-C0813,18,0.947368,0.947368,0.900000
10,11,OVL-C1001,OVL-C1101,dead-OVL-C1001,dead-OVL-C1101,2,0.024096,0.017857,0.010363
10,11,OVL-C1001,OVL-C1102,dead-OVL-C1001,dead-OVL-C1001,41,0.493976,0.427083,0.297101
10,11,OVL-C1001,OVL-C1103,dead-OVL-C1001,c05,1,0.012048,0.012658,0.006211
10,11,OVL-C1001,OVL-C1104,dead-OVL-C1001,dead-OVL-C0002,4,0.048193,0.051948,0.025641
10,11,OVL-C1001,OVL-C1106,dead-OVL-C1001,c02,1,0.012048,0.019231,0.007463
10,11,OVL-C1001,OVL-C1107,dead-OVL-C1001,dead-OVL-C1107,17,0.204819,0.354167,0.149123
10,11,OVL-C1001,OVL-C1108,dead-OVL-C1001,dead-OVL-C0706,10,0.120482,0.222222,0.084746
10,11,OVL-C1001,OVL-C1109,dead-OVL-C1001,c08,2,0.024096,0.048780,0.016393
10,11,OVL-C1001,OVL-C1113,dead-OVL-C1001,dead-OVL-C1013,1,0.012048,0.055556,0.010000
10,11,OVL-C1002,OVL-C1101,dead-OVL-C0002,dead-OVL-C1101,16,0.205128,0.142857,0.091954
