approach,event_id,event_type,from_snapshot,to_snapshot,source_local_ids,source_observation_ids,target_local_ids,target_observation_ids,source_count,target_count,overlap_sizes,jaccard_scores,prospective_stabilities,retrospective_stabilities,relation_qualifiers
overlap,OVL-E0108,continuation,6,7,13,OVL-C0614,12,OVL-C0713,1,1,4,1.000000,1.000000,1.000000,both
overlap,OVL-E0109,split,7,8,0,OVL-C0701,3;11;7,OVL-C0804;OVL-C0812;OVL-C0808,1,3,34;19;20,0.248175;0.163793;0.150376,0.311927;0.174312;0.183486,0.548387;0.730769;0.454545,retrospective;retrospective;retrospective
overlap,OVL-E0110,split,7,8,7,OVL-C0708,10;12,OVL-C0811;OVL-C0813,1,2,24;22,0.470588;0.448980,0.489796;0.448980,0.923077;1.000000,both;both
overlap,OVL-E0111,continuation,7,8,2,OVL-C0703,0,OVL-C0801,1,1,65,0.496183,0.747126,0.596330,both
overlap,OVL-E0112,continuation,7,8,1,OVL-C0702,1,OVL-C0802,1,1,89,0.754237,0.908163,0.816514,both
overlap,OVL-E0113,continuation,7,8,3,OVL-C0704,2,OVL-C0803,1,1,77,0.865169,0.927711,0.927711,both
overlap,OVL-E0114,continuation,7,8,5,OVL-C0706,4,OVL-C0805,1,1,52,0.722222,0.787879,0.896552,both
overlap,OVL-E0115,continuation,7,8,4,OVL-C0705,5,OVL-C0806,1,1,40,0.470588,0.526316,0.816327,both
overlap,OVL-E0116,continuation,7,8,6,OVL-C0707,6,OVL-C0807,1,1,47,0.854545,0.886792,0.959184,both
overlap,OVL-E0117,merge,7,8,10;0,OVL-C0711;OVL-C0701,7,OVL-C0808,2,1,17;20,0.326923;0.150376,0.680000;0.183486,0.386364;0.454545,prospective;retrospective
overlap,OVL-E0118,continuation,7,8,8,OVL-C0709,8,OVL-C0809,1,1,39,0.750000,0.829787,0.886364,both
overlap,OVL-E0119,merge,7,8,9;12,OVL-C0710;OVL-C0713,9,OVL-C0810,2,1,22;3,0.500000;0.071429,0.880000;0.750000,0.536585;0.073171,both;prospective
overlap,OVL-E0120,continuation,7,8,11,OVL-C0712,13,OVL-C0814,1,1,18,0.857143,1.000000,0.857143,both
overlap,OVL-E0121,birth,7,8,,,14,OVL-C0815,0,1,,,,,
overlap,OVL-E0122,death,8,9,14,OVL-C0815,,,1,0,,,,,
overlap,OVL-E0123,continuation,8,9,1,OVL-C0802,0,OVL-C0901,1,1,85,0.551948,0.779817,0.653846,both
overlap,OVL-E0124,merge,8,9,4;11,OVL-C0805;OVL-C0812,1,OVL-C0902,2,1,47;14,0.431193;0.127273,0.810345;0.538462,0.479592;0.142857,both;prospective
overlap,OVL-E0125,continuation,8,9,2,OVL-C0803,2,OVL-C0903,1,1,65,0.670103,0.783133,0.822785,both
overlap,OVL-E0126,continuation,8,9,0,OVL-C0801,3,OVL-C0904,1,1,55,0.462185,0.504587,0.846154,both
overlap,OVL-E0127,continuation,8,9,3,OVL-C0804,4,OVL-C0905,1,1,54,0.739726,0.870968,0.830769,both
overlap,OVL-E0128,continuation,8,9,7,OVL-C0808,5,OVL-C0906,1,1,39,0.629032,0.886364,0.684211,both
overlap,OVL-E0129,continuation,8,9,6,OVL-C0807,6,OVL-C0907,1,1,47,0.824561,0.959184,0.854545,both
overlap,OVL-E0130,continuation,8,9,9,OVL-C0810,7,OVL-C0908,1,1,38,0.844444,0.926829,0.904762,both
overlap,OVL-E0131,continuation,8,9,8,OVL-C0809,8,OVL-C0909,1,1,36,0.734694,0.818182,0.878049,both
overlap,OVL-E0132,continuation,8,9,5,OVL-C0806,9,OVL-C0910,1,1,38,0.745098,0.775510,0.950000,both
overlap,OVL-E0133,continuation,8,9,10,OVL-C0811,10,OVL-C0911,1,1,26,0.928571,1.000000,0.928571,both
overlap,OVL-E0134,continuation,8,9,13,OVL-C0814,11,OVL-C0912,1,1,20,0.909091,0.952381,0.952381,both
overlap,OVL-E0135,continuation,8,9,12,OVL-C0813,12,OVL-C0913,1,1,18,0.782609,0.818182,0.947368,both
overlap,OVL-E0136,split,9,10,0,OVL-C0901,6;5,OVL-C1007;OVL-C1006,1,2,40;27,0.285714;0.173077,0.307692;0.207692,0.800000;0.509434,retrospective;retrospective
overlap,OVL-E0137,split,9,10,1,OVL-C0902,3;0,OVL-C1004;OVL-C1001,1,2,40;34,0.327869;0.231293,0.408163;0.346939,0.625000;0.409639,both;retrospective
overlap,OVL-E0138,split,9,10,4,OVL-C0905,12;7,OVL-C1013;OVL-C1008,1,2,19;21,0.263889;0.241379,0.292308;0.323077,0.730769;0.488372,retrospective;retrospective
overlap,OVL-E0139,split,9,10,5,OVL-C0906,5;0,OVL-C1006;OVL-C1001,1,2,24;23,0.279070;0.196581,0.421053;0.403509,0.452830;0.277108,both;prospective
overlap,OVL-E0140,split,9,10,7,OVL-C0908,9;15,OVL-C1010;OVL-C1016,1,2,26;2,0.520000;0.046512,0.619048;0.047619,0.764706;0.666667,both;retrospective
overlap,OVL-E0141,split,9,10,9,OVL-C0910,7;10,OVL-C1008;OVL-C1011,1,2,18;14,0.276923;0.254545,0.450000;0.350000,0.418605;0.482759,both;retrospective
overlap,OVL-E0142,merge,9,10,1;5,OVL-C0902;OVL-C0906,0,OVL-C1001,2,1,34;23,0.231293;0.196581,0.346939;0.403509,0.409639;0.277108,retrospective;prospective
overlap,OVL-E0143,continuation,9,10,3,OVL-C0904,1,OVL-C1002,1,1,44,0.444444,0.676923,0.564103,both
overlap,OVL-E0144,continuation,9,10,2,OVL-C0903,2,OVL-C1003,1,1,62,0.673913,0.784810,0.826667,both
overlap,OVL-E0145,continuation,9,10,6,OVL-C0907,4,OVL-C1005,1,1,53,0.815385,0.963636,0.841270,both
overlap,OVL-E0146,merge,9,10,5;0,OVL-C0906;OVL-C0901,5,OVL-C1006,2,1,24;27,0.279070;0.173077,0.421053;0.207692,0.452830;0.509434,both;retrospective
overlap,OVL-E0147,merge,9,10,9;4,OVL-C0910;OVL-C0905,7,OVL-C1008,2,1,18;21,0.276923;0.241379,0.450000;0.323077,0.418605;0.488372,both;retrospective
overlap,OVL-E0148,continuation,9,10,8,OVL-C0909,8,OVL-C1009,1,1,33,0.750000,0.804878,0.916667,both
overlap,OVL-E0149,continuation,9,10,10,OVL-C0911,11,OVL-C1012,1,1,26,0.838710,0.928571,0.896552,both
overlap,OVL-E0150,continuation,9,10,11,OVL-C0912,13,OVL-C1014,1,1,18,0.642857,0.857143,0.720000,both
overlap,OVL-E0151,continuation,9,10,12,OVL-C0913,14,OVL-C1015,1,1,18,0.900000,0.947368,0.947368,both
